GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reporting/ogham-core,fr.sii.ogham.html.translator,InlineImageTranslator,53,235,3,15,10,55,3,17,0,11
reporting/ogham-core,fr.sii.ogham.email.message,Recipient,31,51,0,0,7,8,3,5,3,5
reporting/ogham-core,fr.sii.ogham.email.message,Email,109,468,7,27,24,75,11,43,7,30
reporting/ogham-core,fr.sii.ogham.email.message,RecipientType,0,34,0,0,0,4,0,1,0,1
reporting/ogham-core,fr.sii.ogham.email.message,EmailAddress,0,141,1,9,0,27,1,13,0,9
reporting/ogham-core,fr.sii.ogham.core.template.detector,OrTemplateDetector,0,56,0,6,0,14,0,7,0,4
reporting/ogham-core,fr.sii.ogham.core.template.detector,CompositeTemplateDetector,0,23,0,0,0,8,0,4,0,4
reporting/ogham-core,fr.sii.ogham.core.template.detector,FixedEngineDetector,4,9,0,0,2,4,1,2,1,2
reporting/ogham-core,fr.sii.ogham.core.template.detector,SimpleResourceEngineDetector,20,33,2,2,5,10,2,4,0,4
reporting/ogham-core,fr.sii.ogham.email.filler,EmailFiller,10,85,7,17,1,17,6,9,0,3
reporting/ogham-core,fr.sii.ogham.core.retry,SimpleRetryExecutor,12,111,1,5,4,24,1,7,0,5
reporting/ogham-core,fr.sii.ogham.core.retry,FixedDelayRetry,26,12,2,0,5,5,6,1,5,1
reporting/ogham-core,fr.sii.ogham.core.retry,NamedCallable,3,13,0,0,1,5,1,2,1,2
reporting/ogham-core,fr.sii.ogham.sms.message.addressing,TypeOfNumber,34,92,4,0,4,12,3,3,1,3
reporting/ogham-core,fr.sii.ogham.sms.message.addressing,AddressedPhoneNumber,23,67,1,3,1,11,2,6,1,5
reporting/ogham-core,fr.sii.ogham.sms.message.addressing,NumberingPlanIndicator,34,125,4,0,4,15,3,3,1,3
reporting/ogham-core,fr.sii.ogham.core.translator.resource,DefaultResourceTranslator,5,0,0,0,2,0,2,0,2,0
reporting/ogham-core,fr.sii.ogham.core.translator.resource,EveryResourceTranslator,0,68,0,2,0,18,0,8,0,7
reporting/ogham-core,fr.sii.ogham.core.translator.resource,LookupResourceTranslator,7,36,0,2,2,11,0,5,0,4
reporting/ogham-core,fr.sii.ogham.core.exception.resource,NoResolverException,16,0,0,0,6,0,3,0,3,0
reporting/ogham-core,fr.sii.ogham.core.exception.resource,ResourceResolutionException,18,7,0,0,7,3,3,1,3,1
reporting/ogham-core,fr.sii.ogham.core.exception.template,BeanException,17,8,0,0,7,3,3,1,3,1
reporting/ogham-core,fr.sii.ogham.core.exception.template,NoEngineDetectionException,4,0,0,0,2,0,1,0,1,0
reporting/ogham-core,fr.sii.ogham.core.exception.template,BeanContextException,25,0,0,0,10,0,4,0,4,0
reporting/ogham-core,fr.sii.ogham.core.exception.template,ParseException,13,24,0,0,5,9,2,3,2,3
reporting/ogham-core,fr.sii.ogham.core.exception.template,EngineDetectionException,13,0,0,0,6,0,3,0,3,0
reporting/ogham-core,fr.sii.ogham.core.exception.template,ContextException,13,0,0,0,6,0,3,0,3,0
reporting/ogham-core,fr.sii.ogham.core.service,EverySupportingMessagingService,12,81,0,6,4,21,2,6,2,3
reporting/ogham-core,fr.sii.ogham.core.service,WrapExceptionMessagingService,30,45,0,0,4,12,0,2,0,2
reporting/ogham-core,fr.sii.ogham.core.builder.configurer,DefaultMessagingConfigurer,0,329,0,0,0,87,0,8,0,8
reporting/ogham-core,fr.sii.ogham.core.builder.configurer,MessagingConfigurerAdapter,0,29,0,0,0,12,0,7,0,7
reporting/ogham-core,fr.sii.ogham.core.builder.configurer,ConfigurationPhase,0,24,0,0,0,3,0,1,0,1
reporting/ogham-core,fr.sii.ogham.sms,SmsConstants.SmppSplitConstants,0,19,0,0,0,3,0,1,0,1
reporting/ogham-core,fr.sii.ogham.sms,SmsConstants.SmppSplitConstants.SegmentSizes,3,12,0,0,1,5,1,2,1,2
reporting/ogham-core,fr.sii.ogham.core.id.generator,SequentialIdGenerator,1,36,1,1,0,9,1,4,0,4
reporting/ogham-core,fr.sii.ogham.core.id.generator,UUIDGenerator,7,0,0,0,2,0,2,0,2,0
reporting/ogham-core,fr.sii.ogham.core.exception.util,FieldAccessException,13,0,0,0,6,0,3,0,3,0
reporting/ogham-core,fr.sii.ogham.core.exception.util,InvalidPropertyException,6,21,0,0,2,8,2,2,2,2
reporting/ogham-core,fr.sii.ogham.core.exception.util,HttpException,13,0,0,0,6,0,3,0,3,0
reporting/ogham-core,fr.sii.ogham.core.exception.util,PhoneNumberException,13,0,0,0,6,0,3,0,3,0
reporting/ogham-core,fr.sii.ogham.core.exception.util,BeanWrapperException,0,9,0,0,0,4,0,2,0,2
reporting/ogham-core,fr.sii.ogham.core.condition,OrCondition,26,28,0,4,5,9,3,5,3,3
reporting/ogham-core,fr.sii.ogham.core.condition,PropertyValueCondition,66,21,0,0,5,6,3,2,3,2
reporting/ogham-core,fr.sii.ogham.core.condition,RequiredPropertyCondition,52,15,0,0,5,5,3,2,3,2
reporting/ogham-core,fr.sii.ogham.core.condition,NotCondition,38,15,0,2,5,4,3,3,3,2
reporting/ogham-core,fr.sii.ogham.core.condition,AndCondition,20,34,0,4,3,11,2,6,2,4
reporting/ogham-core,fr.sii.ogham.core.condition,RequiredClassCondition,38,10,0,0,5,4,3,2,3,2
reporting/ogham-core,fr.sii.ogham.core.condition,CompositeCondition,33,24,0,0,5,8,4,4,4,4
reporting/ogham-core,fr.sii.ogham.core.condition,PropertyPatternCondition,66,33,0,6,5,7,3,5,3,2
reporting/ogham-core,fr.sii.ogham.core.condition,FixedCondition,35,9,0,0,5,4,3,2,3,2
reporting/ogham-core,fr.sii.ogham.sms.filler,SmsFiller,0,44,3,9,0,8,3,6,0,3
reporting/ogham-core,fr.sii.ogham.email.sender,AttachmentResourceTranslatorSender,10,97,1,3,3,18,1,6,0,5
reporting/ogham-core,fr.sii.ogham.email.sender,EmailSender,9,17,0,0,4,5,2,2,2,2
reporting/ogham-core,fr.sii.ogham.template.exception,NoResolverAdapterException,16,0,0,0,6,0,3,0,3,0
reporting/ogham-core,fr.sii.ogham.template.exception,ResolverAdapterNotFoundException,9,0,0,0,4,0,2,0,2,0
reporting/ogham-core,fr.sii.ogham.template.exception,ResolverAdapterConfigurationException,16,0,0,0,6,0,3,0,3,0
reporting/ogham-core,fr.sii.ogham.template.exception,TemplateVariantNotFoundException,5,27,1,1,1,7,2,3,1,3
reporting/ogham-core,fr.sii.ogham.template.exception,ResolverAdapterException,25,0,0,0,10,0,4,0,4,0
reporting/ogham-core,fr.sii.ogham.template.exception,VariantResolutionException,3,9,0,0,1,3,1,1,1,1
reporting/ogham-core,fr.sii.ogham.template.exception,UnknownVariantException,7,0,0,0,2,0,1,0,1,0
reporting/ogham-core,fr.sii.ogham.template.exception,TemplateRuntimeException,13,0,0,0,6,0,3,0,3,0
reporting/ogham-core,fr.sii.ogham.core.template.parser,AutoDetectTemplateParser.TemplateImplementation,0,32,0,0,0,7,0,4,0,4
reporting/ogham-core,fr.sii.ogham.core.template.parser,AutoDetectTemplateParser,22,75,1,3,3,16,1,6,0,5
reporting/ogham-core,fr.sii.ogham.template.common.adapter,NullVariantResolver,7,0,0,0,3,0,3,0,3,0
reporting/ogham-core,fr.sii.ogham.template.common.adapter,ExtensionMappingVariantResolver,28,123,5,5,4,22,5,6,0,6
reporting/ogham-core,fr.sii.ogham.template.common.adapter,FirstExistingResourceVariantResolver,33,51,7,5,8,14,5,6,1,4
reporting/ogham-core,fr.sii.ogham.template.common.adapter,FailIfNotFoundVariantResolver,38,0,2,0,6,0,4,0,3,0
reporting/ogham-core,fr.sii.ogham.template.common.adapter,FailIfNotFoundWithTestedPathsVariantResolver,5,72,1,3,2,14,2,5,1,4
reporting/ogham-core,fr.sii.ogham.sms.message,Contact,40,65,3,1,5,16,5,7,3,7
reporting/ogham-core,fr.sii.ogham.sms.message,Sms,108,214,4,6,18,39,9,24,7,21
reporting/ogham-core,fr.sii.ogham.sms.message,PhoneNumber,26,12,0,0,4,5,3,3,3,3
reporting/ogham-core,fr.sii.ogham.sms.message,Sender,5,13,0,0,2,6,1,3,1,3
reporting/ogham-core,fr.sii.ogham.sms.message,Recipient,5,13,0,0,2,6,1,3,1,3
reporting/ogham-core,fr.sii.ogham.core.resource.resolver,StringResourceResolver,0,49,0,8,0,11,0,9,0,5
reporting/ogham-core,fr.sii.ogham.core.resource.resolver,FirstSupportingResourceResolver,33,76,4,6,7,20,6,8,2,7
reporting/ogham-core,fr.sii.ogham.core.resource.resolver,AbstractPrefixedLookupPathResolver,0,76,1,9,0,19,1,10,0,6
reporting/ogham-core,fr.sii.ogham.core.resource.resolver,FileResolver,0,87,0,2,0,18,0,7,0,6
reporting/ogham-core,fr.sii.ogham.core.resource.resolver,ClassPathResolver,20,118,1,5,3,23,1,10,0,8
reporting/ogham-core,fr.sii.ogham.core.resource.resolver,DefaultResourceResolver,44,0,4,0,10,0,7,0,5,0
reporting/ogham-core,fr.sii.ogham.core.resource.resolver,RelativeResolver,15,156,3,7,2,21,4,9,1,7
reporting/ogham-core,fr.sii.ogham.core.builder.template,VariantWithExt,0,15,0,0,0,6,0,3,0,3
reporting/ogham-core,fr.sii.ogham.core.builder.template,TemplateBuilderHelper,49,238,7,21,12,48,10,15,3,8
reporting/ogham-core,fr.sii.ogham.core.exception,MessagingException,4,9,0,0,2,4,1,2,1,2
reporting/ogham-core,fr.sii.ogham.core.exception,MessagingRuntimeException,4,9,0,0,2,4,1,2,1,2
reporting/ogham-core,fr.sii.ogham.core.exception,MessageException,10,15,0,0,4,6,2,2,2,2
reporting/ogham-core,fr.sii.ogham.core.exception,MessageNotSentException,5,11,0,0,2,4,1,2,1,2
reporting/ogham-core,fr.sii.ogham.core.mimetype,OverrideMimetypeProvider,0,101,0,2,0,22,0,9,0,8
reporting/ogham-core,fr.sii.ogham.core.mimetype,FixedMimeTypeProvider,29,13,0,0,10,5,5,2,5,2
reporting/ogham-core,fr.sii.ogham.core.mimetype,JavaActivationProvider,60,0,0,0,15,0,7,0,7,0
reporting/ogham-core,fr.sii.ogham.core.mimetype,FallbackMimeTypeProvider,29,252,1,9,9,48,2,12,1,8
reporting/ogham-core,fr.sii.ogham.core.mimetype,TikaProvider,49,114,0,4,11,28,1,10,1,8
reporting/ogham-core,fr.sii.ogham.core.mimetype,JavaFilesProvider,63,0,2,0,13,0,7,0,6,0
reporting/ogham-core,fr.sii.ogham.core.builder.retry,FixedDelayBuilder,0,76,0,0,0,17,0,8,0,8
reporting/ogham-core,fr.sii.ogham.core.builder.retry,RetryBuilder,2,33,1,3,1,8,1,4,0,3
reporting/ogham-core,fr.sii.ogham.core.builder.retry,BuilderToRetryStrategyProviderBridge,0,11,0,0,0,4,0,2,0,2
reporting/ogham-core,fr.sii.ogham.core.subject.provider,MultiContentSubjectProvider,0,43,0,6,0,13,0,5,0,2
reporting/ogham-core,fr.sii.ogham.core.subject.provider,FirstSupportingSubjectProvider,2,40,1,3,1,12,1,5,0,4
reporting/ogham-core,fr.sii.ogham.core.subject.provider,HtmlTitleSubjectProvider,2,23,3,3,1,6,3,2,0,2
reporting/ogham-core,fr.sii.ogham.core.subject.provider,TextPrefixSubjectProvider,6,59,4,6,1,15,4,4,0,3
reporting/ogham-core,fr.sii.ogham.core.builder.env,SimplePropertiesBuilder.Property,0,15,0,0,0,6,0,3,0,3
reporting/ogham-core,fr.sii.ogham.core.builder.env,SimpleEnvironmentBuilder.AbstractProps,0,9,0,0,0,4,0,1,0,1
reporting/ogham-core,fr.sii.ogham.core.builder.env,SimpleEnvironmentBuilder.PropsBuilder,0,13,0,0,0,4,0,2,0,2
